"NEG"  ,NEG  ,6 ,2 ,DIR    
"???"  ,XXX  ,1 ,1 ,nullptr
"???"  ,XXX  ,1 ,1 ,nullptr
"COM"  ,COM  ,6 ,2 ,DIR    
"LSR"  ,LSR  ,6 ,2 ,DIR    
"???"  ,XXX  ,1 ,1 ,nullptr
"ROR"  ,ROR  ,6 ,2 ,DIR    
"ASR"  ,ASR  ,6 ,2 ,DIR    
"ASL/LSL"  ,LSL  ,6 ,2 ,DIR
"ROL"  ,ROL  ,6 ,2 ,DIR    
"DEC"  ,DEC  ,6 ,2 ,DIR    
"???"  ,XXX  ,1 ,1 ,nullptr
"INC"  ,INC  ,6 ,2 ,DIR    
"TST"  ,TST  ,6 ,2 ,DIR    
"JMP"  ,JMP  ,3 ,2 ,DIR    
"CLR"  ,CLR  ,6 ,2 ,DIR    
"***"  ,nullptr,0,0,nullptr
"***"  ,nullptr,0,0,nullptr
"NOP"  ,NOP  ,2 ,1 ,INH    
"SYNC" ,SYNC ,4 ,1 ,INH    
"???"  ,XXX  ,1 ,1 ,nullptr
"???"  ,XXX  ,1 ,1 ,nullptr
"LBRA" ,LBRA ,5 ,3 ,REL    
"LBSR" ,LBSR ,9 ,3 ,REL    
"???"  ,XXX  ,1 ,1 ,nullptr
"DAA"  ,DAA  ,2 ,1 ,INH    
"ORCC" ,ORCC ,3 ,2 ,IMM    
"???"  ,XXX  ,1 ,1 ,nullptr
"ANDCC",ANDCC,3 ,2 ,IMM    
"SEX"  ,SEX  ,2 ,1 ,INH    
"EXG"  ,EXG  ,8 ,2 ,IMM    
"TFR"  ,TFR  ,6 ,2 ,IMM    
"BRA"  ,BRA  ,3 ,2 ,REL    
"BRN"  ,BRN  ,3 ,2 ,REL    
"BHI"  ,BHI  ,3 ,2 ,REL    
"BLS"  ,BLS  ,3 ,2 ,REL    
"BHS/BCC"  ,BCC  ,3 ,2 ,REL
"BLO/BCS"  ,BCS  ,3 ,2 ,REL
"BNE"  ,BNE  ,3 ,2 ,REL    
"BEQ"  ,BEQ  ,3 ,2 ,REL    
"BVC"  ,BVC  ,3 ,2 ,REL    
"BVS"  ,BVS  ,3 ,2 ,REL    
"BPL"  ,BPL  ,3 ,2 ,REL    
"BMI"  ,BMI  ,3 ,2 ,REL    
"BGE"  ,BGE  ,3 ,2 ,REL    
"BLT"  ,BLT  ,3 ,2 ,REL    
"BGT"  ,BGT  ,3 ,2 ,REL    
"BLE"  ,BLE  ,3 ,2 ,REL    
"LEAX" ,LEAX ,4 ,2 ,IDX    
"LEAY" ,LEAY ,4 ,2 ,IDX    
"LEAS" ,LEAS ,4 ,2 ,IDX    
"LEAU" ,LEAU ,4 ,2 ,IDX    
"PSHS" ,PSHS ,5 ,2 ,IMM    
"PULS" ,PULS ,5 ,2 ,IMM    
"PSHU" ,PSHU ,5 ,2 ,IMM    
"PULU" ,PULU ,5 ,2 ,IMM    
"???"  ,XXX  ,1 ,1 ,nullptr
"RTS"  ,RTS  ,5 ,1 ,INH    
"ABX"  ,ABX  ,3 ,1 ,INH    
"RTI"  ,RTI  ,6 ,1 ,INH    
"CWAI" ,CWAI ,20,2 ,INH    
"MUL"  ,MUL  ,11,1 ,INH    
"???"  ,XXX  ,1 ,1 ,nullptr
"SWI"  ,SWI  ,19,1 ,INH    
"NEGA" ,NEGA ,2 ,1 ,INH    
"???"  ,XXX  ,1 ,1 ,nullptr
"???"  ,XXX  ,1 ,1 ,nullptr
"COMA" ,COMA ,2 ,1 ,INH    
"LSRA" ,LSRA ,2 ,1 ,INH    
"???"  ,XXX  ,1 ,1 ,nullptr
"RORA" ,RORA ,2 ,1 ,INH    
"ASRA" ,ASRA ,2 ,1 ,INH    
"ASLA/LSLA",LSLA ,2 ,1 ,INH
"ROLA" ,ROLA ,2 ,1 ,INH    
"DECA" ,DECA ,2 ,1 ,INH    
"???"  ,XXX  ,1 ,1 ,nullptr
"INCA" ,INCA ,2 ,1 ,INH    
"TSTA" ,TSTA ,2 ,1 ,INH    
"???"  ,XXX  ,1 ,1 ,nullptr
"CLRA" ,CLRA ,2 ,1 ,INH    
"NEGB" ,NEGB ,2 ,1 ,INH    
"???"  ,XXX  ,1 ,1 ,nullptr
"???"  ,XXX  ,1 ,1 ,nullptr
"COMB" ,COMB ,2 ,1 ,INH    
"LSRB" ,LSRB ,2 ,1 ,INH    
"???"  ,XXX  ,1 ,1 ,nullptr
"RORB" ,RORB ,2 ,1 ,INH    
"ASRB" ,ASRB ,2 ,1 ,INH    
"ASLB/LSLB",LSLB ,2 ,1 ,INH
"ROLB" ,ROLB ,2 ,1 ,INH    
